DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2007,146409,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2010,135281,b,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2011,147377,b,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2012,129477,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2013,120078,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2014,123158,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2015,146626,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2016,123702,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2017,126703,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2018,137860,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2019,150006,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2020,118683,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2021,139743,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2022,208356,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2023,169609,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belgium,2024,162926,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2007,1561,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2012,14103,bp,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2013,18570,p,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2014,26615,p,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2015,25223,p,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2016,21241,p,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2017,25597,p,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2018,29559,p,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2019,37929,p,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2020,37364,p,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2021,39461,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2022,40619,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2023,56807,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Bulgaria,2024,52189,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Belarus,2007,14155,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,1998,95955,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,1999,107953,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2000,110302,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2001,124077,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2002,127340,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2003,119783,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2004,120188,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2005,118270,,
ESTAT:MIGR_IMM1CTZ(1.0),30/03/26 23:00:00,Annual,Total,Age reached during the year,Total,Number,Total,Switzerland,2006,127586,,
